,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Notas,id,fgk_equipe
14,2022-06-05,16:00,Série A,Rodada da semana 9,dom,Em casa,E,0,0,422bb734,0.9,0.4,50,40.235,Marcos Rocha,4-2-3-1,Wilton Sampaio,https://fbref.com/pt/partidas/f3433a60/Palmeiras-Atletico-Mineiro-2022Junho5-Serie-A,,f3433a60,abdce579
15,2022-06-09,19:00,Série A,Rodada da semana 10,qui,Em casa,V,4,0,d9fdd9d9,2.7,0.8,47,33.431,Marcos Rocha,4-2-3-1,Anderson Daronco,https://fbref.com/pt/partidas/0b39d24b/Palmeiras-Botafogo-RJ-2022Junho9-Serie-A,,0b39d24b,abdce579
16,2022-06-12,18:00,Série A,Rodada da semana 11,dom,Visitante,V,2,0,d680d257,0.9,0.6,53,27.356,Marcos Rocha,4-2-3-1,Leandro Pedro Vuaden,https://fbref.com/pt/partidas/e1b322ef/Coritiba-Palmeiras-2022Junho12-Serie-A,,e1b322ef,abdce579
17,2022-06-16,18:00,Série A,Rodada da semana 12,qui,Em casa,V,4,2,32d508ca,3.0,1.0,49,38.888,Gustavo Gómez,4-2-3-1,Ramon Abatti Abel,https://fbref.com/pt/partidas/3880be62/Palmeiras-Atletico-Goianiense-2022Junho16-Serie-A,,3880be62,abdce579
18,2022-06-20,20:00,Série A,Rodada da semana 13,seg,Visitante,V,2,1,5f232eb1,1.6,1.2,60,31.055,Gustavo Gómez,4-3-1-2,Anderson Daronco,https://fbref.com/pt/partidas/edd7db86/Sao-Paulo-Palmeiras-2022Junho20-Serie-A,,edd7db86,abdce579
19,2022-06-26,16:00,Série A,Rodada da semana 14,dom,Visitante,E,2,2,f205258a,2.5,1.1,51,15.233,Gustavo Gómez,4-2-3-1,Wagner do Nascimento Magalhães,https://fbref.com/pt/partidas/20ccca64/Avai-Palmeiras-2022Junho26-Serie-A,,20ccca64,abdce579
20,2022-06-29,18:15,Libertadores,Oitavas de final,qua,Visitante,V,3,0,e4cd6f9a,4.0,0.4,50,,Gustavo Gómez,4-2-3-1,Wilmar Roldán,https://fbref.com/pt/partidas/534206ca/Cerro-Porteno-Palmeiras-2022Junho29-Copa-Libertadores,Jogo de ida/volta 1 de 2,534206ca,abdce579
21,2022-07-02,21:00,Série A,Rodada da semana 15,sáb,Em casa,D,0,2,2091c619,3.8,2.0,70,39.192,Gustavo Gómez,3-4-3,Braulio da Silva Machado,https://fbref.com/pt/partidas/5e22e3bf/Palmeiras-Atletico-Paranaense-2022Julho2-Serie-A,,5e22e3bf,abdce579
22,2022-07-06,19:15,Libertadores,Oitavas de final,qua,Em casa,V,5,0,e4cd6f9a,2.3,0.4,46,37.431,Gustavo Gómez,4-2-3-1,Patricio Loustau,https://fbref.com/pt/partidas/a5e34f0a/Palmeiras-Cerro-Porteno-2022Julho6-Copa-Libertadores,Jogo de ida/volta 2 de 2; Palmeiras venceu,a5e34f0a,abdce579
23,2022-07-10,18:00,Série A,Rodada da semana 16,dom,Visitante,E,0,0,a9d0ab0e,1.1,1.0,60,24.888,Marcos Rocha,4-2-3-1,Wilton Sampaio,https://fbref.com/pt/partidas/11f9ed7e/Fortaleza-Palmeiras-2022Julho10-Serie-A,,11f9ed7e,abdce579
24,2022-07-18,20:00,Série A,Rodada da semana 17,seg,Em casa,V,1,0,f0e6fb14,1.5,0.2,61,39.033,Gustavo Gómez,4-2-3-1,Anderson Daronco,https://fbref.com/pt/partidas/a5cb4a8c/Palmeiras-Cuiaba-2022Julho18-Serie-A,,a5cb4a8c,abdce579
25,2022-07-21,20:00,Série A,Rodada da semana 18,qui,Visitante,V,1,0,1f68d780,1.4,2.0,52,6.462,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,https://fbref.com/pt/partidas/7c4516cc/America-MG-Palmeiras-2022Julho21-Serie-A,,7c4516cc,abdce579
26,2022-07-24,16:00,Série A,Rodada da semana 19,dom,Em casa,V,2,1,6f7e1f03,1.3,0.7,52,38.658,Gustavo Gómez,4-2-3-1,Bruno Arleu de Araujo,https://fbref.com/pt/partidas/37341666/Palmeiras-Internacional-2022Julho24-Serie-A,,37341666,abdce579
